RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
11,36,1204,2,43,1,1,1,18,144,25,1,4,8:15 AM,10:35 AM,2,8,,,,,10,,,,,,,2,2,1,2,3,4,2,3,3,3,3,3,3,3,3,6,4,6,4,6,6,4,,,,3,3,6,3,3,3,,,,3,1,,,2,2,2,2,2,,,,2,3,5,5,2,,,,1,EL CERRITO,94530,US,5,7,2,2,2,2,1,1,1.266708
12,37,1204,2,43,1,1,1,18,144,25,1,4,8:30 AM,10:35 AM,3,8,,,,,1,10,,,,,4,1,1,0,0,3,4,2,4,4,4,4,4,4,6,6,6,4,6,6,4,6,4,,,,3,6,6,3,3,3,,,,4,6,,,2,2,2,2,2,,,,1,3,4,4,2,,,,1,PLEASANTON,94566,US,3,6,2,2,2,1,1,1,1.266708
13,38,1204,2,43,1,1,1,18,144,25,1,4,8:45 AM,10:35 AM,3,8,,,,,6,10,,,,,,2,1,2,2,3,3,2,4,3,3,4,4,3,6,6,4,4,6,4,6,6,4,,,,4,4,6,4,4,4,,,,5,,,,1,2,2,2,1,,,,5,4,5,5,2,,,,1,SAN FRANCISCO,94117,US,1,3,2,2,2,2,1,1,1.266708
14,39,1204,2,43,1,1,1,18,144,25,1,4,N,10:35 AM,1,8,,,,,6,10,,,,,,1,2,1,2,1,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,4,3,5,2,,,,3,OKLAHOMA CITY,73160,US,11,3,1,2,3,2,2,1,1.266708
15,40,1204,2,43,1,1,1,18,144,25,1,4,8:35 AM,10:35 AM,2,3,8,,,,2,10,,,,,,1,0,0,0,1,1,2,4,6,6,5,5,5,6,6,6,3,4,6,6,6,5,129,,,5,6,6,6,6,5,,,,5,1,,,1,2,2,2,2,,,,5,5,5,5,2,,,,2,MODESTO,95350,US,10,2,2,2,2,2,2,1,1.266708
16,41,1204,2,43,1,1,1,18,144,25,1,4,7:30 AM,10:35 AM,3,8,,,,,11,10,,,,,,2,1,1,2,3,4,2,3,3,3,4,4,3,6,6,6,4,0,6,6,6,4,,,,5,6,6,5,5,5,,,,5,,,,0,0,0,0,0,,,,4,5,5,5,2,,,,1,NAPA,94558,US,9,7,2,0,2,2,1,1,1.266708
17,42,1204,2,43,1,1,1,18,144,25,1,4,10:00 PM,10:35 AM,3,8,,,,,5,10,,,,,,1,2,1,2,1,0,2,2,1,2,3,3,3,4,6,1,6,6,5,6,6,3,209,232,,5,5,6,5,5,5,89,,,3,5,,,2,2,2,2,2,1,,,5,5,4,5,2,,,,3,RINGE,,DENMARK,15,2,1,1,2,2,2,1,1.266708
18,43,1204,2,43,1,1,1,18,144,25,1,4,9:00 AM,10:35 AM,2,8,,,,,3,10,,,,,3,2,2,2,2,2,1,2,5,4,4,5,3,4,4,4,3,4,4,6,3,6,4,274,,,5,6,6,4,4,4,,,,3,35,,,1,2,1,2,2,,,,11,3,5,4,2,,,,1,PETALUMA,94954,US,7,3,1,4,2,2,1,1,1.266708
19,44,1204,2,43,1,1,1,18,144,25,1,4,9:00 AM,10:35 AM,9,8,,,,,2,10,,,,,,1,1,2,1,3,4,2,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,1,1,3,3,1,,,,8,5,5,5,2,,,,0,,,,99,0,0,0,0,0,0,1,1.266708
20,53,1210,2,98,1,2,1,33,776,50,1,4,2:00 AM,7:47 AM,2,3,8,,,,3,10,,,,,,2,1,1,1,1,2,1,6,4,4,4,4,4,6,6,3,6,6,6,6,6,4,204,5,162,5,6,6,5,5,4,,,,4,5,,,2,2,2,2,1,,,,11,6,5,6,2,,,,3,OTTAWA,,CANADA,13,9,0,3,2,2,2,1,0.595689
21,54,1210,2,98,1,2,1,33,776,50,1,4,5:00 AM,7:47 AM,2,8,,,,,4,10,,,,,,1,1,2,1,1,2,1,3,6,6,4,4,4,6,6,4,6,6,6,6,6,4,,,,4,6,6,6,4,4,,,,3,16,,,2,2,1,2,1,,,,5,5,4,4,2,,,,3,PANAMA CITY,,PANAMA,14,4,1,3,2,2,2,1,0.595689
22,55,1210,2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,1,8,,,,,8,10,,,,,,2,2,2,1,4,4,1,3,3,3,5,5,5,4,4,5,6,6,5,6,5,4,161,,,5,5,5,5,5,5,,,,4,99,,,2,2,2,1,1,,,,5,4,5,5,1,,,,3,BOSTON,2360,US,12,6,1,4,2,2,1,1,0.595689
23,56,1210,2,98,1,2,1,33,776,50,1,4,6:45 AM,7:47 AM,1,8,,,,,1,10,,,,,3,2,1,2,1,3,4,1,5,5,5,3,4,3,6,6,3,4,4,6,4,6,4,170,,,4,6,6,5,4,4,,,,5,,,,1,2,2,2,1,,,,6,5,3,3,2,,,,1,DALY CITY,94016,US,2,5,2,0,2,2,2,1,0.595689
24,57,1210,2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,5,8,,,,,6,10,,,,,,2,2,2,2,1,1,2,6,6,6,4,4,4,6,6,6,6,6,6,6,6,4,,,,5,6,6,6,5,5,,,,5,,,,1,2,2,2,2,,,,5,3,5,5,2,,,,3,LITITZ,17543,US,12,3,2,2,2,2,2,1,0.595689
25,58,1210,2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,3,8,,,,,2,10,,,,,,1,1,1,2,3,3,2,4,4,5,4,4,4,4,4,6,4,4,6,6,6,4,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,2,,,,6,4,3,4,2,,,,3,PITTSBURGH,15116,US,12,7,2,0,2,2,2,1,0.595689
26,59,1210,2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,1,8,,,,,2,10,,,,,,2,2,1,1,4,3,2,4,2,2,3,3,3,3,3,5,3,2,4,3,3,3,,,,5,5,5,5,5,5,,,,4,,,,1,2,2,2,1,,,,6,5,5,4,2,,,,1,SAN BRUNO,94066,US,2,3,2,2,2,2,1,1,0.595689
27,60,1210,2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,2,8,,,,,2,10,,,,,,1,2,2,2,1,4,2,4,2,2,3,4,3,3,3,3,3,4,6,6,6,4,,,,5,6,6,4,4,5,,,,3,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,1,DALY CITY,94014,US,2,3,2,2,3,1,1,1,0.595689
28,61,1210,2,98,1,2,1,33,776,50,1,4,N,7:47 AM,2,8,,,,,2,10,,,,,,1,0,0,0,1,1,2,6,6,0,5,5,5,5,5,5,5,5,6,6,6,6,,,,0,6,6,6,5,5,,,,3,,,,2,2,2,1,2,,,,5,3,3,0,1,,,,0,,,,99,0,0,0,0,0,0,2,0.595689
29,62,1210,2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,1,8,,,,,1,10,,,,,4,2,2,2,1,4,2,2,4,3,3,4,4,3,6,6,4,3,4,4,3,3,4,126,,,4,4,6,4,4,4,,,,5,5,,,1,2,2,2,1,4,,,7,3,3,3,1,24,,,1,CUPERTINO,95814,US,4,4,1,3,1,2,2,4,0.595689
30,16,1202,2,25,1,2,1,6,1023,86,1,2,5:30 AM,7:31 AM,2,8,,,,,5,10,,,,,,1,2,1,1,1,1,1,5,3,5,5,5,5,4,5,5,4,4,5,0,5,5,2,,,5,5,6,5,5,5,,,,5,2,,,2,2,2,2,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,94115,US,1,3,2,1,1,2,2,1,0.892167
31,17,1202,2,25,1,2,1,6,1023,86,1,2,6:31 AM,7:31 AM,1,8,,,,,2,10,,,,,,2,2,2,2,4,4,1,6,3,3,4,4,4,6,6,5,4,3,4,6,6,5,,,,5,4,6,4,4,4,,,,5,5,,,2,2,2,1,1,1,,,6,5,5,4,2,,,,1,PACIFICA,94044,US,2,6,1,4,2,2,1,1,0.892167
32,18,1202,2,25,1,2,1,6,1023,86,1,2,6:00 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,1,1,1,3,1,1,4,3,4,4,5,5,6,6,6,4,3,4,6,6,4,,,,5,4,6,4,3,4,,,,5,1,,,2,2,2,2,2,,,,5,3,5,4,2,,,,1,SAN FRANCISCO,94113,US,1,3,2,2,2,2,1,1,0.892167
33,19,1202,2,25,1,2,1,6,1023,86,1,2,5:00 AM,7:31 AM,2,3,8,,,,1,10,,,,,3,1,0,0,0,2,2,1,4,5,4,4,5,3,4,4,5,5,5,4,5,4,5,219,,,5,5,5,5,5,5,,,,4,98,,,2,2,2,2,2,,,,15,5,4,5,2,,,,2,MODESTO,95355,US,10,3,1,1,2,2,2,1,0.892167
34,20,1202,2,25,1,2,1,6,1023,86,1,2,5:00 AM,7:31 AM,3,8,,,,,1,10,,,,,3,1,2,2,2,2,3,2,3,3,3,4,3,3,6,6,6,5,5,6,5,6,3,,,,4,6,6,3,3,3,,,,4,,,,2,2,2,2,2,,,,15,4,4,3,2,,,,2,MODESTO,95355,US,10,6,2,2,2,2,2,1,0.892167
35,21,1202,2,25,1,2,1,6,1023,86,1,2,5:30 AM,7:31 AM,2,8,,,,,4,10,,,,,,1,2,1,1,4,2,2,4,3,3,3,4,4,4,4,2,3,3,4,3,6,4,176,,,4,4,6,4,3,4,,,,5,6,,,2,2,2,2,1,2,,,6,3,5,4,2,,,,1,DALY CITY,94015,US,2,4,1,3,2,2,2,1,0.892167
36,22,1202,2,25,1,2,1,6,1023,86,1,2,6:30 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,2,1,2,4,1,2,4,3,3,4,3,4,3,3,3,4,4,4,6,6,3,2,,,4,4,4,4,4,4,,,,4,,,,2,2,1,2,2,,,,5,5,4,5,2,,,,1,SAN FRANCISCO,94118,US,1,3,1,4,2,2,1,1,0.892167
37,23,1202,2,25,1,2,1,6,1023,86,1,2,6:30 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,2,1,2,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,,,4,4,4,4,3,4,,,,4,,,,2,2,2,2,1,,,,5,5,4,4,2,,,,1,SAN FRANCISCO,94118,US,1,3,2,4,2,2,1,1,0.892167
38,24,1202,2,25,1,2,1,6,1023,86,1,2,5:40 AM,7:31 AM,6,8,,,,,1,10,,,,,3,2,2,2,2,3,1,2,3,2,3,4,3,4,6,6,6,3,2,6,2,6,4,,,,5,6,6,6,3,4,,,,4,,,,2,2,2,2,2,,,,5,5,3,4,2,,,,1,SAN FRANCISCO,94122,US,1,3,1,0,2,2,2,1,0.892167
39,25,1202,2,25,1,2,1,6,1023,86,1,2,6:00 AM,7:31 AM,2,8,,,,,1,10,,,,,1,1,0,0,0,3,4,2,3,2,2,3,3,2,3,3,3,3,3,4,3,3,3,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,2,,,,1,0,3,3,2,,,,1,,,US,90,4,1,3,1,1,1,1,0.892167
40,26,1202,2,25,1,2,1,6,1023,86,1,2,4:00 AM,7:31 AM,6,8,,,,,2,10,,,,,,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,0,0,0,5,,,,0,,,,0,0,0,0,0,,,,12,3,3,0,2,,,,2,GALT,95632,US,10,5,2,0,3,2,2,2,0.892167
41,7,1201,2,25,1,2,1,29,1201,50,1,4,4:30 AM,6:00 AM,1,8,,,,,7,10,,,,,,1,2,1,1,4,4,1,4,4,4,4,5,2,6,0,5,4,4,6,4,6,3,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,6,3,3,3,2,,,,1,REDWOOD CITY,94061,US,2,5,1,4,2,2,1,1,0.892167
42,8,1201,2,25,1,2,1,29,1201,50,1,4,4:35 AM,6:00 AM,4,8,,,,,1,10,,,,,0,1,2,2,2,4,4,1,6,4,6,5,5,5,4,4,6,5,5,5,6,6,4,900,,,4,4,6,4,4,4,,,,5,96,,,1,2,2,2,3,,,,7,5,5,5,2,,,,1,SANTA CLARA,94045,US,4,6,2,3,1,1,1,1,0.892167
43,9,1201,2,25,1,2,1,29,1201,50,1,4,4:30 AM,6:00 AM,1,8,,,,,4,10,,,,,,2,2,2,2,3,3,1,6,3,3,4,3,4,6,6,4,6,6,6,6,6,3,264,,,3,6,6,4,4,3,,,,4,1,,,2,2,0,2,1,,,,5,5,5,5,2,,,,3,ST LOUIS,63051,US,11,6,2,4,1,1,1,1,0.892167
44,10,1201,2,25,1,2,1,29,1201,50,1,4,4:45 AM,6:00 AM,2,8,,,,,2,10,,,,,,2,2,2,2,3,4,1,5,4,4,5,4,5,6,6,6,5,6,6,6,6,4,900,,,5,6,6,5,5,5,,,,5,1,,,1,2,2,2,2,,,,7,5,5,3,2,,,,1,PALO ALTO,94303,US,4,6,2,5,2,1,2,1,0.892167
45,11,1201,2,25,1,2,1,29,1201,50,1,4,8:00 PM,6:00 AM,2,8,,,,,3,10,,,,,,2,1,1,1,3,1,1,4,3,3,5,5,5,6,6,4,6,6,6,6,6,4,,,,5,5,6,6,5,5,,,,4,1,,,2,2,2,2,1,,,,11,5,5,5,2,,,,3,SANDY,84093,US,10,3,1,2,2,2,2,1,0.892167
46,12,1201,2,25,1,2,1,29,1201,50,1,4,4:00 AM,6:00 AM,2,8,,,,,8,10,,,,,,2,2,2,2,1,4,1,6,3,6,0,5,5,6,6,6,6,6,5,6,0,4,80,,,5,5,5,6,4,5,,,,4,3,,,2,2,2,2,2,,,,9,3,4,5,2,,,,3,FLAT ROCK,28731,US,12,7,2,0,2,2,2,1,0.892167
47,13,1201,2,25,1,2,1,29,1201,50,1,4,5:00 AM,6:00 AM,1,8,,,,,7,10,,,,,,2,1,1,2,1,4,1,6,3,4,4,6,2,6,6,6,6,6,6,6,6,4,,,,4,6,6,4,6,4,,,,5,5,,,2,2,2,2,2,,,,5,4,5,5,2,,,,3,GODFREY,62035,US,11,4,2,5,1,1,1,1,0.892167
48,14,1201,2,25,1,2,1,29,1201,50,1,4,4:30 AM,6:00 AM,1,8,,,,,7,10,,,,,,2,1,2,2,2,1,2,6,6,4,4,4,4,6,6,6,6,6,6,6,6,4,,,,4,4,6,3,3,4,,,,5,,,,2,2,2,2,2,,,,5,5,5,2,2,,,,3,ST LOUIS,63104,US,11,3,2,3,2,2,1,1,0.892167
49,15,1201,2,25,1,2,1,29,1201,50,1,4,4:30 AM,6:00 AM,4,8,,,,,2,10,,,,,,0,0,2,0,4,4,2,3,5,3,4,4,4,6,6,4,5,6,6,6,6,4,161,,,4,6,6,4,4,4,,,,4,,,,3,3,3,3,1,1,,,7,4,5,3,2,,,,1,CUPERTINO,95014,US,4,2,2,4,3,1,0,1,0.892167
50,45,1209,2,89,1,2,1,33,1571,11,2,3,10:00 PM,6:00 AM,3,8,,,,,3,10,,,,,,1,2,1,1,3,4,1,5,3,3,4,5,4,5,5,5,6,6,5,6,6,5,203,,,5,5,5,5,5,5,,,,5,1,,,2,2,1,2,1,4,,,11,0,5,5,2,,,,3,BOSTON,2108,US,12,6,1,2,2,1,1,1,1.870831
51,46,1209,2,89,1,2,1,33,1571,11,2,3,4:30 AM,6:00 AM,4,8,,,,,3,10,,,,,,2,2,2,1,1,4,1,5,4,4,4,5,5,6,6,5,6,6,5,6,6,0,90,,,5,4,6,5,5,5,,,,5,,,,2,2,1,2,1,,,,11,6,5,2,2,,,,3,HONOLULU,96818,US,10,4,1,2,2,2,2,1,1.870831
52,47,1209,2,89,1,2,1,33,1571,11,2,3,4:30 AM,6:00 AM,5,8,,,,,6,10,,,,,,2,2,2,2,1,1,1,5,6,2,4,4,6,6,0,6,6,6,6,6,6,4,,,,5,5,5,5,5,5,,,,5,32,,,2,2,2,2,2,,,,7,3,5,4,2,,,,1,SANTA CLARA,95054,US,4,3,1,3,2,1,2,1,1.870831
53,48,1209,2,89,1,2,1,33,1571,11,2,3,4:50 AM,6:00 AM,6,8,,,,,2,10,,,,,,2,2,1,2,1,4,1,5,3,3,4,4,4,6,6,6,6,6,6,6,6,5,5,22,,4,6,6,3,3,3,,,,5,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,1,PACIFICA,94044,US,2,5,2,0,2,2,2,1,1.870831
54,49,1209,2,89,1,2,1,33,1571,11,2,3,4:45 AM,6:00 AM,1,8,,,,,2,10,,,,,,2,1,2,2,3,4,1,4,4,4,4,4,5,3,3,6,6,6,6,6,6,4,,,,4,4,4,4,4,4,,,,5,5,,,2,2,2,2,2,,,,2,5,5,5,2,,,,3,EASTHAM,2642,US,12,4,2,3,2,2,1,1,1.870831
55,50,1209,2,89,1,2,1,33,1571,11,2,3,1:00 AM,6:00 AM,2,3,8,,,,5,10,,,,,,2,2,1,1,5,2,1,6,3,4,5,4,4,6,6,5,6,6,5,6,6,4,5,226,,5,5,6,5,4,5,,,,5,1,,,2,2,2,2,1,,,,5,3,5,5,2,,,,1,SAN FRANCISCO,94110,US,1,2,1,3,1,2,2,1,1.870831
56,51,1209,2,89,1,2,1,33,1571,11,2,3,4:30 AM,6:00 AM,1,8,,,,,8,10,,,,,,2,2,1,2,4,4,1,3,3,3,3,3,3,3,3,3,4,6,3,6,3,3,8,,,3,3,3,3,3,3,,,,3,20,,,2,2,2,2,1,,,,5,5,5,5,2,,,,3,SANDWICH,2537,US,12,5,1,4,1,1,2,1,1.870831
57,52,1209,2,89,1,2,1,33,1571,11,2,3,4:45 AM,6:00 AM,5,8,,,,,7,10,,,,,,2,2,1,2,1,4,2,3,3,3,4,4,4,6,6,4,4,6,5,6,6,4,,,,5,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,6,5,4,5,2,,,,3,CAMBRIDGE,2130,US,12,4,1,4,2,2,2,1,1.870831
58,63,1210,2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,2,8,,,,,5,10,,,,,,2,2,2,2,2,4,1,5,6,6,3,5,5,6,5,5,6,6,5,6,6,4,163,204,,5,5,5,5,5,5,,,,5,27,1,,2,2,2,2,1,1,,,5,5,3,4,1,,,,3,MIDLAND,48642,US,11,3,2,1,2,2,2,1,0.595689
59,64,1210,2,98,1,2,1,33,776,50,1,4,6:50 AM,7:47 AM,1,8,,,,,1,10,,,,,1,1,2,1,2,2,3,2,5,3,3,3,3,4,3,3,1,3,3,4,4,4,4,,,,3,3,3,3,3,3,,,,5,,,,2,2,2,2,2,,,,5,4,4,5,2,,,,1,SAN FRANCISCO,94103,US,1,5,1,2,2,2,2,1,0.595689
60,75,1212,2,84,1,1,1,33,300,38,1,2,7:30 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,2,1,1,0,0,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,1,,,2,2,2,2,1,6,,,11,5,5,6,2,,,,3,HONOLULU,96707,US,10,6,2,1,2,1,1,1,1.870831
61,76,1212,2,84,1,1,1,33,300,38,1,2,9:00 AM,10:30 AM,2,8,,,,,4,10,,,,,,1,2,2,2,2,4,1,6,6,6,5,5,6,0,6,6,6,6,6,6,6,4,,,,5,6,6,6,5,5,,,,4,99,,,2,2,2,2,2,1,,,3,5,5,3,1,26,,,1,GREENBRAE,94904,US,6,7,2,3,2,2,2,1,1.870831
62,77,1212,2,84,1,1,1,33,300,38,1,2,8:00 AM,10:30 AM,1,8,,,,,3,10,,,,,,2,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,234,,,4,6,6,5,4,4,,,,5,30,,,2,2,2,1,2,8,,,11,5,5,6,2,,,,3,TEMECULA,92592,US,10,6,1,3,2,2,1,1,1.870831
63,78,1212,2,84,1,1,1,33,300,38,1,2,7:50 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,1,1,2,3,2,1,4,3,6,5,5,5,5,5,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,0,,,,0,0,0,0,0,,,,11,5,5,6,2,,,,3,HONOLULU,96706,US,10,6,1,0,2,2,2,1,1.870831
80,74,1211,2,68,1,1,1,33,864,39,3,4,6:30 AM,9:01 AM,2,8,,,,,5,10,,,,,,1,1,1,1,1,3,2,5,5,5,5,5,5,5,5,5,4,6,4,6,6,4,,,,4,4,6,6,4,4,,,,4,,,,2,2,2,2,1,,,,7,4,5,5,2,,,,1,,,US,90,0,0,0,0,0,0,1,1.870831
64,79,1212,2,84,1,1,1,33,300,38,1,2,9:00 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,1,1,2,1,4,1,3,4,4,3,3,4,6,6,6,6,6,5,6,6,4,,,,4,4,6,4,4,4,,,,5,5,,,2,2,2,2,2,,,,11,4,5,6,2,,,,2,WOODLAND,96950,US,10,6,2,4,2,2,2,1,1.870831
